ssn,name,race,country,sentence_length
331-34-3987,Nanete Wiltsher,Paiute,Indonesia,251
399-79-0116,Duane Rennenbach,Yaqui,China,88
149-49-1008,Harriet Guthrie,Indonesian,Spain,312
876-45-0201,Austina Spiniello,Puerto Rican,United States,53
492-75-6583,Elizabeth Roy,Navajo,Brazil,159
542-57-5265,Dalila Kopman,Ute,Greece,138
643-85-1218,Joannes Oldroyde,Aleut,Sweden,178
440-15-5122,Shantee Morkham,Guatemalan,Lithuania,307
234-53-8351,Arty Boule,Asian Indian,Panama,308
486-65-7122,Shanan Threadkell,Cheyenne,China,34
247-84-9388,Gabby Driffield,Yuman,France,195
585-81-6669,Jabez Borton,Comanche,Canada,122
655-53-0321,Ramon Clowton,Menominee,Russia,298
821-44-1465,Sharai Purle,Aleut,Ethiopia,88
177-76-3896,Juanita Rostern,Tlingit-Haida,China,276
216-05-9184,Emlynn Issett,South American,Brazil,344
114-18-7208,Albertina Daspar,Micronesian,Philippines,316
867-81-7994,Lem Fessler,Polynesian,China,8
275-65-6154,Stern Gabb,Cuban,China,328
534-74-6626,Gradey Beckensall,Seminole,Honduras,327
685-39-3956,Kizzee Ximenez,Costa Rican,France,298
315-56-4495,Brina Henke,American Indian and Alaska Native (AIAN),Nigeria,246
784-23-8757,Darlene Bonhan,Choctaw,Kyrgyzstan,367
547-53-7177,Helga Blasgen,Chinese,China,191
665-91-4037,Ilyse Dorin,Asian Indian,China,171
886-21-0402,Kanya Gething,Dominican (Dominican Republic),China,151
727-63-5912,Lucais Vanichev,Paiute,Portugal,116
157-55-9882,Adora Esche,Ecuadorian,Vietnam,18
259-33-4120,Margalo Cejka,Tlingit-Haida,Afghanistan,68
821-33-3711,Diandra Bernat,Asian Indian,Indonesia,286
351-47-6186,Howey Steinham,Argentinian,Guatemala,138
634-78-4104,Laetitia Vittel,Chickasaw,Peru,315
110-28-6889,Salli Colliss,Shoshone,Indonesia,375
173-32-1149,Gloriana Espinha,Cherokee,China,150
542-48-4819,Anabal Gillbe,Cheyenne,Croatia,70
261-24-3808,Koren Ablott,Yaqui,Czech Republic,232
703-12-8425,Marlowe Eyre,Houma,Costa Rica,235
547-77-6143,Ellynn Jacobsohn,Ute,Indonesia,135
587-09-0844,Crin Benech,Shoshone,Indonesia,78
134-64-3417,Dorey Benoy,Houma,Indonesia,79
135-24-6236,Morly Diable,Osage,Portugal,81
881-02-6998,Cindee Hutcheons,American Indian,Brazil,317
827-29-1770,Debee MacDougal,Fijian,Indonesia,2
560-24-2508,Damaris Cardenosa,Salvadoran,Panama,83
224-70-2341,Jessamyn Absolon,Venezuelan,Botswana,110
650-82-2359,Annie Dewey,Kiowa,Kenya,355
836-61-4296,Carena Esel,Iroquois,Nigeria,313
841-33-0053,Anya Brookshaw,Latin American Indian,Ukraine,274
455-38-1456,Arlen Izkovitz,Puerto Rican,Argentina,256
568-53-4627,Adelheid Wonfar,Yakama,Portugal,255
412-05-2404,Guillermo Murie,Paraguayan,Netherlands,307
839-37-7026,Elayne Myrie,Argentinian,Brazil,392
244-29-6233,Flori Pegram,Puerto Rican,Brazil,156
132-88-5678,Antonius Bris,Fijian,Argentina,399
574-61-6320,Boonie Beall,Japanese,United States,292
821-78-7579,Beauregard Pevsner,Japanese,Benin,60
495-02-1248,Kipp Bohike,Alaskan Athabascan,Philippines,174
814-70-7447,Peter Stallan,Cambodian,Brazil,234
337-98-9267,Wainwright Pitchers,Indonesian,China,204
823-90-0105,Andres Shaw,Tlingit-Haida,China,334
716-31-1772,Gary Goodwill,Salvadoran,China,252
577-39-0059,Shurlock Saben,Asian Indian,Colombia,206
305-77-5199,Leonore Leipoldt,Vietnamese,Mexico,23
128-45-8097,Edmund Shwalbe,American Indian,Kazakhstan,380
844-99-4336,Ynes Crimmins,Panamanian,Sweden,1
446-68-0851,Maighdiln Ebbin,Potawatomi,Mexico,43
501-37-4256,Nickolai Nathon,Kiowa,France,272
363-66-4349,Twyla Kwietak,Cuban,Mexico,71
241-26-9549,Kellia Denerley,Cuban,China,1
116-82-5326,Hasty Corbridge,Sioux,France,193
160-03-7360,Felicia Cuesta,Cree,Bosnia and Herzegovina,312
360-64-2945,Pascal Bilton,Indonesian,Indonesia,391
689-74-3376,Cecil Zottoli,Peruvian,China,49
462-07-6597,Sonya Hibling,Laotian,China,360
256-51-0368,Farica Napoleon,Asian Indian,Russia,283
370-47-5851,Blair Whiteland,Colville,Afghanistan,83
114-17-9874,Trumaine Boase,Peruvian,France,93
123-44-7723,Joann Maggiori,Seminole,China,334
476-78-6814,Holly Boundley,Laotian,France,262
810-38-1572,Hesther Petrushkevich,Houma,Indonesia,385
871-37-2407,Sky Ronchetti,Nicaraguan,China,396
680-92-9864,Don Goldin,Pima,Syria,63
708-19-7639,Neila Brandassi,Peruvian,Bahrain,28
222-23-7349,Marcos Crassweller,Polynesian,France,272
114-11-7844,Raine Gilding,Taiwanese,China,215
732-12-7229,Otes Ridwood,Chinese,France,172
142-74-6133,Shannen Terzza,Cambodian,Brazil,256
768-49-7339,Brock Eixenberger,American Indian,Indonesia,111
504-62-0686,Claretta Swindles,Chippewa,Greece,102
173-04-5897,Lissie Schettini,Argentinian,Philippines,192
534-04-3141,Fremont Bowling,Puerto Rican,Colombia,249
579-10-9314,Mahmoud Terran,Yaqui,China,352
158-29-5225,Culver Gravestone,Fijian,Syria,375
772-73-9940,Daria Weeks,Chickasaw,Ireland,3
707-01-7412,Daisi Kuhnke,Central American,Russia,148
817-67-1873,Rey Alekseev,Japanese,China,235
708-89-3636,Astra Putley,Choctaw,Costa Rica,322
599-54-8211,Lynda Ferrandez,Taiwanese,Palestinian Territory,240
193-53-0304,Lissy Jaan,Malaysian,Poland,310
290-66-6934,Essy Sharp,Spaniard,China,165
296-60-2403,Lauritz Mallender,Bangladeshi,Honduras,164
402-92-2031,Sybil Gwatkin,Japanese,Canada,390
198-41-3296,Lancelot MacDiarmond,South American,Russia,381
865-41-6616,Zea Janusik,Crow,Saudi Arabia,314
368-45-7770,Kaitlyn Torn,Pueblo,Sweden,194
787-32-5828,Hedda Minnis,Colombian,Sweden,371
703-50-2951,Wat Snoddy,Yakama,Portugal,32
881-86-2480,Daile Amey,Kiowa,Netherlands,2
325-56-7388,Radcliffe McCallister,American Indian and Alaska Native (AIAN),Peru,271
460-80-3248,Nicolai Wardle,Osage,Israel,159
252-06-2264,Ruddie Gumey,Dominican (Dominican Republic),Japan,25
182-99-4142,Ivie Middleton,Cree,United States,161
667-78-7095,Sidonia Borchardt,Kiowa,Kazakhstan,9
739-69-0643,Jonathan MacCard,Pueblo,Luxembourg,285
130-13-1733,Farrand Crunkhorn,Shoshone,Indonesia,98
128-36-6388,Tyson Thorsen,Native Hawaiian,Sweden,135
483-91-5998,Abba Hayto,Crow,Philippines,320
114-67-6766,Laraine Horsfield,American Indian and Alaska Native (AIAN),Ukraine,340
410-22-6027,Jordain Reston,Polynesian,Philippines,388
282-30-9078,Huntley Wallbanks,Colville,Japan,180
268-21-7850,Vanya Thrift,Sri Lankan,China,228
136-51-3450,Sapphira Roote,Menominee,Laos,159
101-62-3620,Adena Bento,Osage,Sierra Leone,102
439-02-4199,Carey Haslin,Tohono O'Odham,Azerbaijan,200
273-84-1553,Andrej Mogie,Honduran,Serbia,251
491-18-2948,Fraze Dellenbroker,Alaska Native,Indonesia,266
435-55-5912,Harald Tumelty,Vietnamese,Indonesia,271
706-93-5077,Jessalyn Arton,Cree,Brazil,291
837-50-2289,Titos Chapell,Puget Sound Salish,Finland,116
504-88-0538,Worden Klaffs,Malaysian,Argentina,352
347-01-8336,Farlay Dodding,Eskimo,Portugal,256
516-56-6919,Georg Klisch,Laotian,Afghanistan,289
308-09-0326,Evania Alston,Japanese,Yemen,127
653-52-9361,Cecil Lukianov,Asian,Comoros,108
648-48-6306,Valencia Fobidge,Vietnamese,Brazil,57
547-86-4666,Nicola Ceccoli,Tlingit-Haida,Portugal,340
547-08-0587,Rebekkah Fussen,Alaskan Athabascan,China,242
411-90-9684,Edgar Moar,Chickasaw,Greece,287
426-13-5864,Jean Muffett,Cambodian,Indonesia,90
182-78-4506,Alleen Renton,Micronesian,Kazakhstan,208
856-74-0789,Eunice Mingasson,American Indian and Alaska Native (AIAN),France,374
608-98-2880,Ora Pither,Nicaraguan,Philippines,63
780-69-7529,Aloysius Laight,Vietnamese,Indonesia,356
211-54-1495,Minerva Pepis,Asian Indian,Slovenia,22
800-34-3947,Octavia Witherdon,Argentinian,China,57
216-17-4498,Doll Askwith,Laotian,Nigeria,258
754-31-0946,Reagan Van Bruggen,Alaskan Athabascan,Sweden,233
428-07-5553,Isador Duthie,Salvadoran,Argentina,15
466-73-4519,Maximilianus Fratson,Cherokee,Portugal,344
540-01-9234,Kalil Baughn,Native Hawaiian,France,296
370-26-9555,Nolana McIllrick,Paiute,Philippines,149
482-59-7965,Syd Burgiss,Iroquois,Armenia,156
743-10-4543,Jaine Orrock,Central American,Portugal,281
710-40-6848,Jordon Kunneke,Cherokee,Russia,329
277-86-1927,Thom McLean,Asian Indian,Panama,14
237-64-2594,Cami Dinneen,Pakistani,China,48
247-97-8907,Wallie Braunes,Malaysian,Ukraine,169
149-83-7404,Ame Cockney,Thai,Greece,67
594-14-0927,Tracie Houliston,Cherokee,Thailand,30
637-76-3873,Berget Bason,Alaskan Athabascan,Pakistan,319
343-44-5863,Cello Newberry,Native Hawaiian,China,77
449-54-0772,Bunnie Upston,Fijian,Republic of the Congo,258
450-14-7982,Xenia Luckham,Korean,Sweden,59
362-55-3773,Dur Bohje,Native Hawaiian and Other Pacific Islander (NHPI),Brazil,189
195-52-0072,Brennen Keepence,Mexican,Indonesia,369
230-72-6442,Merci Driscoll,Houma,Brazil,339
195-35-0382,Garold Battye,Peruvian,Mexico,96
355-72-8161,Guillermo Johansen,Pakistani,Poland,296
503-65-5426,Elfrieda Cayette,Venezuelan,Afghanistan,80
455-89-9737,Alana Pieterick,Yuman,Chile,62
558-31-9273,Norman Rohloff,Apache,Russia,308
286-10-6272,Budd Bodham,Bangladeshi,China,346
512-43-5379,Bradford Branthwaite,Polynesian,United States,170
403-23-5032,Ransell Egginton,Cherokee,China,374
668-03-0329,Moll Esterbrook,Ottawa,China,216
472-87-3059,Kimmie Gaudin,Alaska Native,China,351
688-07-1340,Roze Frisby,Central American,Dominican Republic,67
849-71-9438,Joscelin Priddle,Panamanian,Nigeria,114
129-52-9954,Anthea Croad,Comanche,Indonesia,348
178-56-8167,Loni Bargh,Asian Indian,China,258
694-68-7428,Brandon Lanphier,White,Jordan,45
136-57-5752,Ursula Donisthorpe,Blackfeet,Peru,172
204-98-8676,Winne Northway,Ute,Vietnam,61
469-13-6334,Gibby Pendred,Black or African American,Indonesia,275
761-77-3894,Audra Ecob,Salvadoran,China,366
849-88-1071,Juliane Wildber,White,China,247
350-39-5873,Candace Rolfe,Nicaraguan,Mongolia,212
621-47-3768,Franklyn Torns,Chinese,Malaysia,151
874-81-8479,Bartel Klaffs,Delaware,Ukraine,373
283-05-1721,Josephine Asty,Comanche,Mexico,315
621-84-1694,Freedman Gioani,American Indian and Alaska Native (AIAN),Mexico,377
723-71-7261,Marmaduke Huckett,Hmong,Portugal,113
844-77-6696,Brock Dubber,Colville,Brazil,292
866-05-2070,Eugenie Normaville,Shoshone,China,311
781-46-2207,Denys Gavrieli,Iroquois,China,291
794-20-1677,Marcel McCrorie,Panamanian,China,8
813-22-2047,Karleen Starcks,Crow,Ukraine,5
856-59-6326,Leslie Rosen,Indonesian,Bolivia,371
204-85-5157,Flint Bunney,American Indian and Alaska Native (AIAN),France,353
212-90-0663,Gerhardt Duberry,Guatemalan,Pakistan,79
641-41-4861,Wiatt Matkin,Asian,Japan,138
416-89-5984,Martie Skyrme,Creek,Ukraine,117
811-02-3962,Janeen Kinnie,Sri Lankan,China,393
609-34-5248,Elden Korfmann,Crow,China,260
644-88-9598,Dannie Culverhouse,Osage,Uzbekistan,219
276-53-9581,Dorena Bartczak,Korean,Indonesia,92
429-05-1769,Gina Orriss,Peruvian,Kazakhstan,356
697-13-8433,Allene Overall,Malaysian,Argentina,274
220-65-0744,Davie Cloute,Navajo,Colombia,295
223-99-0282,Waylin Thomasson,Samoan,China,129
653-35-6659,Chalmers O'Coskerry,Cherokee,China,119
123-75-6340,Coop Scemp,Melanesian,China,249
616-49-2323,Hill Micklem,Eskimo,Canada,259
406-17-2546,Lydie McComiskey,Guatemalan,Bosnia and Herzegovina,57
890-98-2954,Fleming Halpine,Chippewa,Philippines,176
122-26-0223,Jillie Stapels,Cuban,Poland,258
878-57-2123,Melesa Kedward,Melanesian,Vietnam,233
786-43-5200,Adrienne McAdam,Argentinian,Indonesia,258
890-60-0393,Goldy Benedyktowicz,Pueblo,Kazakhstan,308
226-59-9385,Abra Brogi,Delaware,Canada,89
689-70-1241,Sterne Raleston,Shoshone,Sweden,259
805-40-9219,Filbert Bax,Japanese,Madagascar,88
588-69-8570,Holmes Lowseley,Comanche,Philippines,216
846-56-1022,Cary Forst,Nicaraguan,Russia,103
232-53-8773,Royce O' Meara,Bangladeshi,United States,110
525-87-7174,Ab Crankhorn,Paraguayan,Afghanistan,202
737-77-3591,Claudette Gratland,Iroquois,Laos,335
153-72-6693,Tabb Hatz,South American,Sweden,246
863-80-0740,Gerardo Darridon,Asian Indian,Malaysia,286
382-20-6067,Gothart Hawkings,Kiowa,Vietnam,393
306-98-8202,Grata Piegrome,Pueblo,Russia,97
449-47-3501,Michail Titta,Salvadoran,France,185
232-36-9959,Jackqueline Cossons,Cambodian,Poland,128
790-67-3031,Derrek Blandamore,Bolivian,China,297
157-75-1189,Guillema Cattach,Uruguayan,Guatemala,320
197-95-1140,Hallie Riddles,Kiowa,Philippines,31
440-07-0969,Marlene Swalteridge,Paraguayan,United States,159
149-58-6366,Vi Eversley,Ottawa,Brazil,45
372-29-5147,Thomasine Skyrm,Pima,Philippines,58
318-34-9152,Taddeusz Hoodlass,Venezuelan,Portugal,57
246-25-6839,Cordie Dobbins,Guamanian,Russia,268
418-60-4850,Shandie Timblett,Samoan,Poland,393
548-87-6716,Trixie Meates,Alaskan Athabascan,China,39
702-14-1519,Janna Cordoba,Colville,Philippines,358
175-38-6157,Clayton Arckoll,Ottawa,Philippines,201
522-05-3272,Aarika Sline,Ottawa,Indonesia,119
679-30-3551,Kaspar Giovanni,Spaniard,China,52
722-04-6305,Charmine Measen,Filipino,Greece,169
202-86-6777,Eleanora Carbery,Native Hawaiian and Other Pacific Islander (NHPI),Russia,340
866-31-8778,Elwin Cretney,Houma,Greece,157
558-21-4123,Austina Wonfar,Melanesian,Russia,210
812-98-0104,Jacobo Margerison,Dominican (Dominican Republic),Malaysia,231
236-28-5269,Antone Fihelly,Ottawa,Georgia,358
352-09-5892,Pete Kensall,Navajo,China,313
767-79-3032,Rafaelita Iverson,Pueblo,Argentina,293
849-67-4707,Penelopa Borres,Choctaw,Philippines,227
155-48-9275,Alidia Martine,Panamanian,China,252
877-50-6660,Estrellita Murricanes,Chippewa,China,82
390-92-4111,Xerxes Forgan,Vietnamese,Japan,298
595-40-0511,Clarinda Manz,Yaqui,China,72
839-90-6510,Bernette Roskilly,Potawatomi,China,35
488-15-1613,Susanetta Ismay,Chinese,China,116
226-45-3245,Andros Iggulden,Yuman,Poland,250
794-92-3367,Betti Rubinshtein,Colombian,France,347
486-34-0386,Dicky Boxhall,Dominican (Dominican Republic),Czech Republic,281
240-85-4226,Ban Featonby,Comanche,Argentina,181
760-22-5915,Frieda Saph,Blackfeet,Indonesia,83
410-08-0211,Shaw Denisevich,Filipino,Sweden,394
856-31-2521,Kile Kearford,Honduran,China,322
508-27-4097,Nat Fozzard,White,Sweden,333
158-55-1299,Barbaraanne Cullin,Cherokee,Japan,297
702-63-7537,Arabelle Munt,American Indian,Greece,49
767-30-7254,Lonna Valentine,Colombian,Brazil,265
425-93-8984,Chic Maddigan,Comanche,Kosovo,32
239-26-6732,Hollis Francomb,Mexican,Morocco,206
472-56-7355,Avram Gridley,Central American,China,271
434-86-6087,Sebastian Sambell,Chamorro,Chad,325
550-82-5666,Neron Mellor,Taiwanese,Uzbekistan,237
446-17-1380,Rheta Crankshaw,Korean,China,287
468-54-8636,Rey Dall,Cherokee,Uganda,171
818-68-8080,Gilda Conybear,Cheyenne,Mexico,120
221-88-0174,Marsha Tellenbach,Asian,Ukraine,247
519-61-3289,Wash Guiducci,Chippewa,China,116
141-62-6152,Paco Stening,Crow,Kazakhstan,269
730-85-9407,Stacy Mouse,Samoan,Yemen,34
320-80-8014,Danyette Hame,Crow,China,57
861-83-6894,Osbert Soppit,Sri Lankan,Sweden,142
547-04-9704,Odille Scragg,Dominican (Dominican Republic),Central African Republic,363
754-54-1756,Sisile Robecon,Nicaraguan,Poland,363
713-30-2808,Emogene Brookfield,Laotian,Brazil,351
345-87-7490,Tarra Badini,Black or African American,Slovenia,352
791-28-2662,Odie Arrighi,Ecuadorian,Chile,227
105-33-2723,Merv Laytham,Chilean,China,158
531-83-5595,Adlai Casemore,Chamorro,China,36
251-22-0818,Sisely Ruthven,Filipino,Russia,221
810-45-9206,Herve Gullen,Creek,United States,218
401-56-7246,Philippa Salle,Chickasaw,Philippines,238
347-85-1191,Didi Counsell,Colville,Indonesia,166
885-21-3840,Alleen Edgington,Puerto Rican,China,198
540-04-8217,Fiona Yesson,Iroquois,China,172
421-33-6090,Jenifer Marikhin,Bangladeshi,Bulgaria,219
848-14-9972,Randi Glabach,Salvadoran,South Africa,317
403-75-7346,Faulkner Steptowe,South American,China,157
305-39-6235,Brod Jeskin,Apache,China,31
533-40-9102,Milzie Dmitrievski,Melanesian,Poland,282
146-75-0099,Rosaleen Scaice,Chinese,Indonesia,38
779-15-7828,Yolanthe Wheildon,Polynesian,Indonesia,168
819-15-2882,Almeta Lown,Black or African American,Indonesia,85
746-24-6122,Annabela Beden,Osage,Ethiopia,256
284-09-0347,Hobart Andrea,Choctaw,Indonesia,216
324-12-5614,Reid Watting,Central American,China,23
715-13-8689,Shelby McNab,Bolivian,Indonesia,291
108-85-1489,Jami Ferreli,Potawatomi,Mexico,299
582-84-0550,Trent Babe,Aleut,Madagascar,231
154-31-1943,Mendy Eglin,Comanche,China,64
634-01-9006,Benny Tungay,Blackfeet,Russia,22
570-24-0463,Demetris Westwell,Bolivian,Indonesia,50
485-77-6010,Darin Howling,Bangladeshi,Indonesia,248
441-06-7859,Frasquito Nayshe,Argentinian,France,245
273-57-5842,Rebecca Ciraldo,Tongan,Philippines,218
283-72-6339,Dorothea Bleasby,Yaqui,Philippines,201
332-76-0929,Joly Claughton,Yuman,Panama,234
577-93-4455,Audry De Hoogh,Asian Indian,Afghanistan,87
804-45-5195,Freddie Lethley,Japanese,Netherlands,63
324-99-9780,Alika Giamelli,Tohono O'Odham,Iran,345
312-36-5460,Rowland Probetts,Korean,Argentina,107
411-82-1722,Cobbie Azema,Eskimo,France,124
314-15-1782,Demetris Soares,Paraguayan,Russia,235
813-44-9901,Kev Ould,Navajo,Serbia,234
307-77-1794,Tailor De Santos,Guatemalan,Albania,331
311-44-1822,Ivar Remnant,Korean,China,375
110-48-9904,Marin Akker,Vietnamese,China,155
243-30-9297,Faun Clampton,Menominee,China,225
433-74-6197,Cinda Ney,Thai,Indonesia,61
886-76-2802,Stephanie Duplain,Malaysian,China,276
389-74-6842,Hirsch Haselup,Spaniard,Nigeria,400
186-57-4988,Royce Gelling,Asian Indian,France,35
459-42-4686,Esdras Mellor,Japanese,Russia,148
523-40-9218,Marion Giorgini,Mexican,China,378
344-81-1449,Alika Wiszniewski,American Indian and Alaska Native (AIAN),Cameroon,61
665-48-2328,Care Irlam,Pima,France,274
379-97-0742,Emery Yakubov,Osage,China,61
361-26-1639,Alvie McCready,Apache,Indonesia,267
895-74-9079,Delinda Ladds,Pima,France,52
605-47-2055,Fidelio Fears,Alaska Native,Tunisia,248
439-82-6328,Nial Daniels,Guatemalan,South Africa,135
585-63-2721,Bab Adenot,Sri Lankan,Croatia,354
553-77-4497,Hall Daud,Alaskan Athabascan,Angola,46
784-33-2991,Dannie Shaxby,Puget Sound Salish,Argentina,44
100-64-8391,Benjamen Shea,Panamanian,Serbia,330
784-98-8237,Lowell Innes,Menominee,Indonesia,348
588-83-0225,Kirby Barroux,Honduran,Luxembourg,67
686-34-3235,Jarad Guillond,Indonesian,China,399
113-91-6423,Deanna Lattimer,Navajo,Indonesia,169
864-03-7106,Tadio Staterfield,Navajo,Azerbaijan,304
262-85-5987,Liz Sturney,Chippewa,Colombia,281
806-60-1791,Guthrie Renak,Tohono O'Odham,Australia,209
614-71-9719,Sean Powley,Pueblo,Peru,196
738-85-1158,Tate Boribal,Cambodian,Aland Islands,296
861-61-5569,Elisabeth Shurrock,Menominee,Philippines,225
639-25-5336,Townsend How to preserve,Yaqui,Vietnam,108
518-61-9484,Nanice Haysom,Iroquois,China,378
628-57-4124,Curt Hundal,Comanche,Brazil,279
608-84-2067,Danya Arrell,Japanese,Argentina,147
845-47-1459,Betteann Frankema,Argentinian,China,161
209-24-0346,Pearle Youll,South American,Portugal,198
660-78-7548,Chantalle Fairlem,Spaniard,Russia,365
197-97-4160,Maritsa Glanders,American Indian,Philippines,188
736-63-1963,Lance Pietzke,Pueblo,Russia,228
165-97-9350,Darcey Reddick,Native Hawaiian,Philippines,354
564-70-3617,Dani Bramah,Tohono O'Odham,Saudi Arabia,138
891-04-9937,Scottie Kochlin,South American,Philippines,133
839-55-9735,Cross Duggen,Taiwanese,Mongolia,134
838-61-0322,Lanie Skelington,Kiowa,France,22
199-99-3958,Gustave Gallahue,Choctaw,Philippines,301
532-59-7762,Ninette Amos,Menominee,Colombia,274
359-42-4816,Opal Lambden,Crow,Ireland,190
564-54-7928,Ly Woodnutt,Chilean,Czech Republic,365
514-10-2251,Selena Dillicate,Fijian,Luxembourg,177
206-70-3655,William Alenichev,Osage,Uganda,2
442-08-4061,Yuri Anstead,Menominee,Portugal,235
834-25-5142,Eryn Krelle,Navajo,Philippines,140
531-11-0821,Goran Peterson,Korean,Indonesia,232
748-78-6635,Abby Abrami,Colombian,Indonesia,361
297-70-1306,Charis Pawelski,Comanche,Uzbekistan,350
785-21-6302,Kalli Strewthers,Laotian,Philippines,124
376-48-1278,Chevalier Deverall,Sioux,French Polynesia,133
875-63-7851,Tomas Oller,Native Hawaiian,Poland,208
415-04-6913,Jorry Twiddy,Blackfeet,Tanzania,221
819-35-9249,Engracia Harlick,Comanche,United States,292
501-49-2972,Iris Hackleton,Laotian,China,383
513-57-6639,Maurene MacHarg,Asian,Brazil,249
246-27-9756,Shandra Culross,Kiowa,China,251
242-05-8965,Geoff Rosenblath,Venezuelan,Ukraine,187
241-68-4048,Christoph Laville,Iroquois,United States,271
781-27-4630,Faina Hay,Korean,Canada,308
723-09-2583,Franciskus Kemmis,Japanese,Vietnam,2
400-29-5028,Say Capstaff,Sri Lankan,China,395
127-64-3849,Othilia Casiero,Mexican,Argentina,272
880-77-7349,Daveen Zorn,Blackfeet,Philippines,166
613-68-2823,Tarrance Maggi,Chippewa,Argentina,394
807-52-1747,Samaria Branca,Melanesian,China,263
269-70-6989,Kennett Phython,Korean,China,373
470-92-9516,Dukey Hayller,Samoan,Czech Republic,302
652-80-2109,Averyl Crouse,Pueblo,China,140
523-95-6432,Bourke Boother,Latin American Indian,Indonesia,368
739-09-3913,Flin Batch,Tlingit-Haida,Peru,229
451-05-5272,Charlotta Gossart,Laotian,Libya,384
445-10-1429,Rorie Bemwell,Korean,Indonesia,137
408-06-5598,Elfreda Lapsley,Eskimo,Japan,103
447-89-1689,Lynnett Gavriel,Choctaw,United States,134
584-03-3174,Hayley Huyton,Potawatomi,Czech Republic,268
338-63-7266,Cynthia Nellis,Cheyenne,Indonesia,81
772-26-2933,Malva Scholar,Kiowa,Russia,20
683-85-0086,Zane Philippault,Venezuelan,Russia,332
693-80-2889,Dagny Lowater,Osage,Indonesia,199
892-77-3500,Bettina Cranidge,Hmong,Malaysia,292
470-70-0798,Estevan Keech,Indonesian,Syria,387
741-11-6944,Porter Andreucci,Venezuelan,Luxembourg,366
348-18-5580,Fee Cheetam,Ottawa,Greece,150
405-98-6149,Ericka Chishull,Costa Rican,China,329
451-30-8302,Myrle Stoller,Yuman,China,227
862-20-7664,Svend Everton,Sri Lankan,Indonesia,303
403-59-6044,Lucio Lesek,Native Hawaiian and Other Pacific Islander (NHPI),Colombia,126
491-22-6881,Lyda McVitty,Shoshone,Mauritius,381
817-80-9876,Rutter Locard,Malaysian,China,226
624-96-2183,Talia Coxon,Ottawa,Indonesia,186
645-17-5752,Clarice Binge,Japanese,China,104
476-65-8053,Madeline Killerby,Chickasaw,Philippines,148
594-23-2723,Law Greally,Cambodian,Saudi Arabia,16
604-22-6097,Johnath Vance,Bolivian,Indonesia,196
881-26-8302,Baillie Conor,Guamanian,Indonesia,117
120-61-5035,Kacy Dunsire,Cheyenne,Russia,100
424-12-5490,Loella Culpen,Yuman,Poland,377
873-35-2723,Loren Salerno,Tlingit-Haida,Greece,209
510-19-7801,Sharlene Growden,Hmong,Iran,94
750-85-9878,Harper Garnar,Chilean,Indonesia,323
764-55-0675,Madelaine Tows,Fijian,China,159
886-96-3652,Rodi Toe,Chippewa,Malaysia,60
378-04-7535,Ivar Adne,Paraguayan,Indonesia,348
654-13-8873,Stepha Gartshore,Bolivian,China,292
734-02-8566,Susann Livock,Native Hawaiian and Other Pacific Islander (NHPI),Greece,33
867-04-9772,Lurleen Cartmel,Panamanian,Sweden,140
598-32-5692,Basil Gambles,Colombian,South Africa,133
778-89-2308,Davie Scotcher,Blackfeet,Kazakhstan,249
790-46-2273,Ellery Thorn,Central American,China,46
741-88-4383,Elmo Grassi,Tlingit-Haida,Brazil,177
187-32-0038,Marylynne Lundbeck,Ecuadorian,China,110
388-34-3512,Clarence Hofner,Paraguayan,Philippines,116
254-11-0932,Tuesday Pagelsen,Black or African American,Slovenia,160
684-06-8745,Tonnie Stubley,Alaska Native,Russia,368
126-57-7146,Sheff Cordes,Mexican,Indonesia,161
414-12-2037,Abbot Phinnis,Creek,Czech Republic,194
474-76-0665,Marchall Murton,Seminole,Nigeria,170
698-22-5188,Oralle Josilowski,Paiute,Greece,105
434-69-6109,Melessa Hursthouse,Cuban,Costa Rica,370
177-56-7353,Shay Latey,Japanese,Canada,329
616-76-1455,Leora Burfoot,Chilean,Philippines,23
132-80-6162,Dreddy Tranter,Crow,United States,60
894-15-7487,Dannel Pike,Tongan,Brazil,339
883-74-7504,Yoshiko Penk,Ottawa,Greece,319
587-29-8672,Marjory Kirmond,Sioux,Thailand,390
253-13-1056,Daniel Cardiff,Melanesian,China,38
320-22-7993,Yolande Cinderey,Cuban,Czech Republic,73
644-09-5654,Normy Layne,Eskimo,Portugal,361
433-54-9746,Myles Sporle,Chilean,Canada,261
472-08-5412,Jefferey Creggan,Colville,Hong Kong,149
726-38-2766,Marne Kettleson,Asian,China,98
409-73-0922,Ainslie Farlambe,Honduran,Nigeria,75
162-96-9062,Betty Birt,Samoan,France,324
293-28-4701,Maggi Egginton,Malaysian,Tunisia,244
726-28-8875,Adara Hache,Puget Sound Salish,Cuba,355
685-74-3775,Leticia Bengoechea,American Indian and Alaska Native (AIAN),Syria,165
237-65-0071,Andriana Gibbett,Melanesian,Mongolia,357
113-37-3040,Maje Tissington,Bangladeshi,Portugal,117
402-24-9969,Domini Mendes,Bolivian,Portugal,308
608-98-9064,Tiphany Bavage,Crow,Vietnam,135
379-90-4744,Raye Gilbanks,Potawatomi,China,235
710-61-4105,Audry Birkenshaw,Menominee,Belarus,204
395-52-8341,Benoite Brick,Pueblo,China,132
846-28-6682,Quinn De Luna,Melanesian,Sweden,6
